Date,Wind speed,Generator speed,Blade angle,Wind direction,Ambient temperature,Active power
5/16/2020,10.41255347,16.47611667,7.36769375,-133.5423715,32.03346319,1204.523556
5/17/2020,11.95333611,17.17871597,7.992711806,-136.2823118,32.41259792,1341.443056
5/18/2020,12.07135417,17.08093542,8.449965278,-139.2916618,31.77334931,1281.473347
5/19/2020,8.602684028,16.35074514,0.197380556,-133.3509271,31.61207778,867.6890542
5/20/2020,6.703165278,13.46293958,1.375629167,-323.6956576,32.44813819,526.7882882
5/21/2020,4.471536806,9.667505556,5.749227778,-120.41205,31.97828264,180.0925035
5/22/2020,7.109521528,14.79723472,-0.121374306,-130.6829965,31.37004375,553.1159069
5/23/2020,9.045481944,16.34866458,0.966830556,-132.1727313,31.54552083,970.6958208
5/24/2020,10.43391667,17.20361042,3.442031944,-135.5272194,31.97526944,1190.723434
5/25/2020,10.12271458,17.09518611,2.524211111,-140.0531972,32.07045833,1167.759392
5/26/2020,9.121434028,16.70077361,0.866780556,-133.2058688,31.60432083,962.2160313
5/27/2020,9.149520139,16.57878819,1.4538,-132.9390493,31.3364125,963.1734319
5/28/2020,9.831852778,17.039025,2.820728472,-136.7673458,31.26823056,1064.951983
5/29/2020,4.820838889,10.24262361,5.928160417,-116.7490771,31.60787639,244.8770153
5/30/2020,10.01624722,16.53068819,4.840753472,-138.5351917,31.60576944,1083.93967
5/31/2020,9.876551389,16.65231458,4.442703472,-135.7610125,31.0780625,1038.880142
6/1/2020,10.37748542,16.61885208,7.131133333,-136.8485965,31.08339236,1077.8793
6/2/2020,11.69019722,16.97579306,8.010475,-139.9637806,31.28487014,1208.216213
6/3/2020,10.35931319,17.26449583,3.547297917,-149.5104049,31.5646625,1209.140588
6/4/2020,8.600660417,16.52411389,1.881827083,-139.9832889,31.28548472,873.4635313
6/5/2020,8.314043056,16.14012639,2.54714375,-134.2377674,31.41325833,808.7320382
6/6/2020,8.64186875,16.77897014,1.758955556,-135.2040993,31.70397708,873.7406465
6/7/2020,9.140389583,16.23927431,3.56431875,-140.6396701,31.38978333,910.6879861
6/8/2020,10.11896319,11.38586389,30.98097014,-144.7797347,31.03825972,813.934341
6/9/2020,9.997404861,17.20842222,3.22506875,-139.6738,31.7975375,1157.306622
6/10/2020,8.048993056,15.39620694,3.533950694,-141.337709,32.209125,726.9396785
6/11/2020,8.402767361,16.00918889,0.442596528,-134.7218542,32.12279236,818.9778396
6/12/2020,9.995148611,17.27755139,2.017066667,-132.3330792,32.24396181,1201.210328
6/13/2020,10.75941111,17.26381042,4.731634028,-138.2730646,32.08327153,1271.812172
6/14/2020,8.011934028,15.92184722,1.745753472,-136.9803819,32.33277083,742.1815438
6/15/2020,6.746603472,14.08904444,1.607911111,-144.6806813,31.91335417,482.6621958
6/16/2020,7.626902778,15.00354931,0.978879167,-141.5004069,31.79122222,658.3296451
6/17/2020,8.716445833,16.56047014,0.110352778,-143.9236486,31.53933056,885.0710319
6/18/2020,6.948610417,14.36026667,0.099133333,-140.1030938,31.27072222,522.3085965
6/19/2020,4.439915278,9.598501389,6.84486875,-127.7582403,30.79222014,177.2824965
6/20/2020,4.022226389,8.165394444,12.55485903,-276.9241375,30.51835972,170.1853556
6/21/2020,3.702169444,6.931277778,22.62530208,-479.8603444,29.71968056,154.124934
6/22/2020,7.333504167,14.86825139,-0.491440278,-498.6159722,30.31938958,627.3944764
6/23/2020,9.039565972,16.41680347,2.224924306,-503.5434729,31.12857639,975.5114792
6/24/2020,7.962600694,16.0286375,1.604604167,-492.3045535,31.14095069,755.5830396
6/25/2020,6.609877083,13.87879653,1.088865972,-493.6714785,30.62153333,500.7787319
6/26/2020,7.988335417,15.20532986,1.559257639,-500.7739,31.46291528,737.1388826
6/27/2020,8.598854861,16.76858194,1.206004861,-494.9305819,31.07855139,883.8980215
6/28/2020,8.203655556,15.96026736,1.730393056,-499.5571215,31.21177986,800.1761819
6/29/2020,7.523734722,14.46519722,5.053444444,-491.7855514,30.85724931,698.7926806
6/30/2020,9.651345139,16.395325,4.13153125,-487.1738813,30.53714653,1040.273571
7/1/2020,12.32555486,17.29532778,9.197736806,-498.9364688,31.1204375,1323.953271
7/2/2020,9.712990972,17.11363611,3.026169444,-495.1788813,31.02320833,1110.465813
7/3/2020,7.152022917,15.08993611,1.547679167,-505.3285653,31.18183403,555.4279222
